network_enp0s3_rx,network_enp0s3_tx,network_enp0s3_cx,mem_active,mem_cached,mem_shared,cpu_system,cpu_softirq,cpu_ctx_switches,cpu_interrupts,cpu_soft_interrupts,%user,%idle,label
78998,78938,157936,3324878848,8158547968,5403418624,44.5,41.6,2119,4865,3390,11.19,52.35,normal
56040,55980,112020,3324878848,8158547968,5403418624,44.5,41.6,2119,4865,3390,6.84,75.29,normal
73740,73680,147420,3324882944,8158556160,5403426816,51.4,35.9,3253,7994,5359,1.46,87.23,normal
61200,61080,122280,3324882944,8158556160,5403426816,51.4,35.9,3253,7994,5359,1.83,62.2,normal
74700,74700,149400,3324887040,8158556160,5403426816,50.3,37.3,3494,7493,5738,25.45,23.3,normal
60120,60120,120240,3324887040,8158556160,5403426816,50.3,37.3,3494,7493,5738,4,14.29,normal
74160,74160,148320,3324887040,8158560256,5403430912,56.9,30.2,3328,6746,5805,14.88,0.26,normal
61303,61140,122443,3324887040,8158560256,5403430912,56.9,30.2,3328,6746,5805,8.46,0.6,normal
74760,74820,149580,3324891136,8158560256,5403430912,51.1,36.6,3089,6711,5831,17.72,0,normal
62520,62520,125040,3324891136,8158560256,5403430912,51.1,36.6,3089,6711,5831,12.45,0,normal
72480,72420,144900,3324891136,8158564352,5403435008,57,29.5,3100,6732,5848,10.19,0,normal
62280,62280,124560,3324891136,8158564352,5403435008,57,29.5,3100,6732,5848,13.75,0,normal
73980,73860,147840,3324895232,8158564352,5403435008,52.6,35.2,3136,6718,5883,14.88,0,normal
56880,56820,113700,3324895232,8158564352,5403435008,52.6,35.2,3136,6718,5883,13.33,0,normal
76140,76140,152280,3324895232,8158568448,5403439104,51.1,33.7,2915,6460,5663,11.7,0,normal
61298,61358,122656,3324895232,8158568448,5403439104,51.1,33.7,2915,6460,5663,11.95,0,normal
89280,89220,178500,3324899328,8158568448,5403439104,50.4,36.4,3613,7501,6608,14.79,0,normal
42283,42180,84463,3324899328,8158568448,5403439104,50.4,36.4,3613,7501,6608,15.36,0,normal
74220,74220,148440,3324899328,8158572544,5403443200,55.5,32.3,2759,5788,5038,10.04,0,normal
57480,57480,114960,3324899328,8158572544,5403443200,55.5,32.3,2759,5788,5038,15.19,0,normal
73140,73080,146220,3324903424,8158572544,5403443200,50.9,36.3,2914,6498,5696,13.55,0,normal
63480,63420,126900,3324903424,8158572544,5403443200,50.9,36.3,2914,6498,5696,14.02,0,normal
86100,86040,172140,3324903424,8158576640,5403447296,55.7,31.5,3494,7468,6589,18.68,0,normal
48240,48300,96540,3324903424,8158576640,5403447296,55.7,31.5,3494,7468,6589,17.65,0,normal
71520,71520,143040,3324907520,8158576640,5403447296,50.9,36.4,2590,5878,5154,12.54,0,normal
61080,61080,122160,3324907520,8158576640,5403447296,50.9,36.4,2590,5878,5154,14.03,0,normal
74460,74340,148800,3324911616,8158584832,5403455488,57.4,29.3,3114,6631,5762,11.2,0,normal
59083,58920,118003,3324911616,8158584832,5403455488,57.4,29.3,3114,6631,5762,14.25,0.51,normal
77340,77400,154740,3324915712,8158584832,5403455488,51.7,35.8,3125,6652,5842,10.91,0.51,normal
52980,52860,105840,3324915712,8158584832,5403455488,51.7,35.8,3125,6652,5842,12.5,0,normal
74760,74700,149460,3324919808,8158584832,5403455488,56.2,31.1,2973,6256,5413,11.65,0,normal
54878,54818,109696,3324919808,8158584832,5403455488,56.2,31.1,2973,6256,5413,14.5,0.76,normal
68520,68520,137040,3324923904,8158588928,5403459584,50.4,36.9,2643,5821,5027,10.58,0,normal
60480,60480,120960,3324923904,8158588928,5403459584,50.4,36.9,2643,5821,5027,13.16,0.76,normal
72660,72600,145260,3324923904,8158588928,5403459584,54.9,31,2977,6623,5564,12.53,0,normal
61800,61860,123660,3324923904,8158588928,5403459584,54.9,31,2977,6623,5564,13.28,0,normal
75420,75360,150780,3324928000,8158593024,5403463680,54.1,33.8,3084,6881,6024,10.69,0,normal
60583,60540,121123,3324928000,8158593024,5403463680,54.1,33.8,3084,6881,6024,14.04,0.25,normal
74580,74520,149100,3324928000,8158593024,5403463680,55.5,30.7,3147,6667,5793,12.09,0,normal
58140,58020,116160,3324928000,8158593024,5403463680,55.5,30.7,3147,6667,5793,17.9,0.57,normal
73500,73500,147000,3324932096,8158597120,5403467776,50.3,34.5,2978,6493,5693,12.78,0,normal
55860,55860,111720,3324932096,8158597120,5403467776,50.3,34.5,2978,6493,5693,12.91,0,normal
70320,70260,140580,3324932096,8158597120,5403467776,56.2,31.3,2930,6372,5466,12.09,0,normal
61920,61980,123900,3324932096,8158597120,5403467776,56.2,31.3,2930,6372,5466,12.37,0.51,normal
83700,83640,167340,3324936192,8158601216,5403471872,51.9,34.6,3257,7252,6401,14.25,0,normal
54420,54420,108840,3324936192,8158601216,5403471872,51.9,34.6,3257,7252,6401,11.75,0,normal
77040,77040,154080,3324936192,8158601216,5403471872,52,33.5,3142,6344,5557,12.06,0,normal
53961,53858,107819,3324936192,8158601216,5403471872,52,33.5,3142,6344,5557,13.25,0,normal
76140,76080,152220,3324940288,8158605312,5403475968,53.8,34.2,2730,6353,5565,11.03,0,normal
59488,59320,118808,3324940288,8158605312,5403475968,53.8,34.2,2730,6353,5565,14.43,0.77,normal
71400,71400,142800,3324940288,8158605312,5403475968,54,32.4,3110,6353,5504,12.9,0,normal
59760,59820,119580,3324940288,8158605312,5403475968,54,32.4,3110,6353,5504,12.85,0,normal
79860,79860,159720,3324944384,8158609408,5403480064,53,32.9,3004,6759,5924,11.26,0,normal
64800,64800,129600,3324944384,8158609408,5403480064,53,32.9,3004,6759,5924,13.88,0,normal
85680,85680,171360,3324944384,8158609408,5403480064,53.5,35,3313,7135,6243,12.41,0,normal
62700,62640,125340,3324944384,8158609408,5403480064,53.5,35,3313,7135,6243,13.02,0.78,normal
80100,80160,160260,3324948480,8158613504,5403484160,53.4,33.4,3022,6814,5991,11.61,0.28,normal
54463,54360,108823,3324948480,8158613504,5403484160,53.4,33.4,3022,6814,5991,12.18,0.57,normal
69180,69180,138360,3324948480,8158613504,5403484160,52.4,33.8,2758,6187,5231,14.06,0,normal
68640,68640,137280,3324948480,8158613504,5403484160,52.4,33.8,2758,6187,5231,14,0,normal
79920,79920,159840,3324960768,8158617600,5403488256,54,32.3,3361,7460,6604,12,0,normal
53040,53040,106080,3324960768,8158617600,5403488256,54,32.3,3361,7460,6604,13.1,0,normal
73200,73200,146400,3324960768,8158617600,5403488256,53.2,33.3,2822,6224,5372,12.31,0,normal
67178,67178,134356,3324960768,8158617600,5403488256,53.2,33.3,2822,6224,5372,14.75,0.75,normal
79380,79260,158640,3324964864,8158621696,5403492352,53.5,33.3,2970,7114,6209,14.72,0,normal
62580,62640,125220,3324964864,8158621696,5403492352,53.5,33.3,2970,7114,6209,14.54,0.77,normal
79740,79740,159480,3324964864,8158621696,5403492352,52.6,33.9,3315,6859,5975,12.06,0,normal
59983,59880,119863,3324964864,8158621696,5403492352,52.6,33.9,3315,6859,5975,12.09,0,normal
77280,77280,154560,3324968960,8158625792,5403496448,55.6,31.4,2749,6629,5823,14.25,0,normal
64680,64620,129300,3324968960,8158625792,5403496448,55.6,31.4,2749,6629,5823,13.53,0,normal
84720,90060,174780,3344080896,8357634048,5438574592,45.2,45,1954,4744,3371,10.76,6.6,DOS
105180,138000,243180,3344084992,8357638144,5438578688,40,48.8,1831,3806,2917,12.12,7.11,DOS
124680,150900,275580,3344084992,8357638144,5438578688,36.5,52.2,1926,4273,3102,12.65,9.4,DOS
144600,150000,294600,3344089088,8357642240,5438582784,38.1,50.9,2105,4139,3113,12.83,9.75,DOS
146580,175538,322118,3344089088,8357642240,5438582784,39.2,48.2,2369,4978,3834,10.12,12.54,DOS
122820,132780,255600,3344093184,8357646336,5438586880,34.2,53.7,1946,3285,2376,13.88,12.13,DOS
116400,138300,254700,3344093184,8357650432,5438590976,38.6,49.6,1898,3591,2637,12,10.75,DOS
87300,89100,176400,3344101376,8357658624,5438599168,44,44.4,1840,3510,2745,10.92,10.56,DOS
139980,140460,280440,3344130048,8357670912,5438611456,37.6,50.6,1819,3726,2715,8.37,0.98,DOS
118020,130440,248460,3344134144,8357675008,5438615552,40.1,48.1,1963,4299,3146,9.13,0.71,DOS
114420,115500,229920,3344134144,8357675008,5438615552,40.4,46.8,1958,4428,3199,13.07,0,DOS
152880,168660,321540,3344154624,8357691392,5438623744,36.9,48.8,1883,3090,2370,17.82,2.17,DOS
111360,120480,231840,3344138240,8357691392,5438623744,35.3,47.1,2367,3355,2844,10.76,0.37,DOS
102120,132660,234780,3344187392,8357720064,5438652416,34.3,53.7,1724,3621,2669,10.6,0.98,DOS
